Scenario,Distance,ObstacleDetected,Reaction
scenario_1on,999.0,False,FORWARD
scenario_1on,999.0,False,FORWARD
scenario_1on,999.0,False,FORWARD
scenario_1on,999.0,False,FORWARD
scenario_1on,999.0,False,FORWARD
scenario_1on,999.0,False,FORWARD
scenario_1on,999.0,False,FORWARD
scenario_1on,999.0,False,FORWARD
scenario_1on,999.0,False,FORWARD
scenario_1on,999.0,False,FORWARD
scenario_1on,999.0,False,FORWARD
scenario_1on,999.0,False,FORWARD
scenario_1on,999.0,False,FORWARD
scenario_1on,999.0,False,FORWARD
scenario_1on,999.0,False,FORWARD
scenario_1on,999.0,False,FORWARD
scenario_1on,999.0,False,FORWARD
scenario_1on,999.0,False,FORWARD
scenario_1on,999.0,False,FORWARD
scenario_1on,999.0,False,FORWARD
scenario_1on,999.0,False,FORWARD
scenario_1on,999.0,False,FORWARD
scenario_1on,999.0,False,FORWARD
scenario_1on,16.390625,True,FORWARD
scenario_1on,16.375,True,FORWARD
scenario_1on,999.0,False,FORWARD
scenario_1on,999.0,False,FORWARD
scenario_1on,999.0,False,FORWARD
scenario_1on,999.0,False,FORWARD
scenario_1on,999.0,False,FORWARD
scenario_1on,999.0,False,FORWARD
scenario_1on,999.0,False,FORWARD
scenario_1on,999.0,False,FORWARD
scenario_1on,999.0,False,FORWARD
scenario_1on,999.0,False,FORWARD
scenario_1on,999.0,False,FORWARD
scenario_1on,999.0,False,FORWARD
scenario_1on,999.0,False,FORWARD
scenario_1on,999.0,False,FORWARD
scenario_1on,999.0,False,FORWARD
scenario_1on,999.0,False,FORWARD
scenario_1on,999.0,False,FORWARD
scenario_1on,999.0,False,FORWARD
scenario_1on,999.0,False,FORWARD
scenario_1on,999.0,False,FORWARD
scenario_1on,999.0,False,FORWARD
scenario_1on,999.0,False,FORWARD
scenario_1on,999.0,False,FORWARD
scenario_1on,999.0,False,FORWARD
scenario_1on,999.0,False,FORWARD
scenario_1on,999.0,False,FORWARD
scenario_1on,999.0,False,FORWARD
scenario_1on,999.0,False,FORWARD
scenario_1on,999.0,False,FORWARD
scenario_1on,999.0,False,FORWARD
scenario_1on,999.0,False,FORWARD
scenario_1on,999.0,False,FORWARD
scenario_1on,999.0,False,FORWARD
scenario_1on,999.0,False,FORWARD
scenario_1on,999.0,False,FORWARD
scenario_1on,999.0,False,FORWARD
scenario_1on,999.0,False,FORWARD
scenario_1on,999.0,False,FORWARD
scenario_1on,999.0,False,FORWARD
scenario_1on,999.0,False,FORWARD
scenario_1on,999.0,False,FORWARD
